76.1376 -100 118.755  -0.0386517 0.997202 0.0639836  
62.0602 -100 108.662  -0.00199331 0.993082 -0.117403  
55.1684 -100 131.298  -0.0406651 0.997733 0.0536123  
42.0433 -100 82.5258  -0.0921406 0.994505 0.0496972  
15.4216 -100 73.8755  0.074689 0.997062 0.0169703  
64.7123 -100 78.3227  -0.0435231 0.993576 0.104465  
50.1545 -100 58.8266  0.0536495 0.994624 0.0885762  
76.1694 -100 107.769  -0.0462399 0.99879 0.0167407  
81.2871 -100 75.5395  0.00402994 0.998154 0.0606056  
70.465 -100 131.97  -0.0649642 0.996575 0.0511576  
34.7437 -100 118.548  -0.051313 0.996121 -0.0714783  
85.8764 -100 101.075  -0.00492226 0.999861 -0.0159603  
-12.0123 -100 118.923  -0.00792246 0.999435 0.0326737  
94.875 -100 102.423  -0.0207831 0.998503 -0.0506005  
6.36264 -100 56.2958  -0.0227921 0.999353 0.0278245  
59.1341 -100 99.6421  0.0224902 0.999738 0.00435806  
43.675 -100 85.5071  -0.042424 0.994313 0.0976799  
20.9713 -100 76.8844  -0.0241814 0.988643 0.148326  
21.2445 -100 126.861  0.0710125 0.996183 0.0507702  
72.5275 -100 126.897  -0.0412221 0.998676 0.0307838  
13.0481 -100 70.2134  -0.0862826 0.994535 -0.0587835  
74.8936 -100 107.722  -0.0805801 0.993516 -0.0802086  
71.6323 -100 61.966  -0.0957963 0.985899 0.137206  
49.6336 -100 88.5886  0.0585553 0.998244 -0.00893385  
88.8083 -100 129.562  -0.0386222 0.997131 -0.0651037  
-8.21938 -100 134  0.0827908 0.993973 -0.0718528  
22.0083 -100 128.523  0.0309158 0.993735 -0.107406  
20.4862 -100 61.0459  0.0487622 0.998752 -0.0108056  
53.3783 -100 144.186  0.0405918 0.996288 -0.0759074  
12.0549 -100 127.581  0.0539665 0.997996 0.0330438  
72.2782 -100 63.0067  -0.0569524 0.994574 0.0870563  
16.3254 -100 54.694  0.0429215 0.998737 0.0261298  
52.9292 -100 53.1459  0.0521231 0.99329 0.103235  
22.4941 -100 110.385  0.0108412 0.998849 0.0467334  
82.9987 -100 121.833  -0.0279927 0.996503 -0.0787343  
15.8538 -100 114.636  0.0669381 0.996735 0.0451575  
70.5051 -100 95.0882  -0.101975 0.988781 0.10915  
40.5059 -100 97.7778  0.0210667 0.999771 0.00370746  
30.5807 -100 89.2786  0.071451 0.99734 0.0144134  
66.5127 -100 123.963  -0.0306292 0.999307 -0.0211456  
81.4998 -100 117.424  -0.0667877 0.996304 -0.0540093  
65.6866 -100 121.817  -0.113505 0.992783 -0.0387187  
63.2929 -100 64.6214  -0.0201362 0.999765 0.00805223  
75.1621 -100 85.243  -0.0360443 0.994583 0.0975003  
61.4838 -100 94.6473  -0.0411475 0.996684 -0.0702024  
43.3718 -100 73.5916  -0.0173415 0.999843 0.00355318  
23.1303 -100 111.923  0.0999423 0.992829 0.0655878  
40.0802 -100 86.4346  0.0687075 0.992386 0.102224  
48.6205 -100 114.576  0.0129236 0.998809 0.0470382  
32.8479 -100 40.4991  0.0527767 0.998456 -0.0173401  
64.4547 -100 129.425  -0.0842881 0.994597 -0.0605994  
14.526 -100 82.877  0.0415711 0.998976 -0.0178335  
46.5183 -100 68.5952  0.0431037 0.999066 0.00313346  
22.3974 -100 98.7259  0.0964845 0.993456 -0.0611219  
